source,target
P0001,P58517
P0001,P40947
P0001,P58724
P0001,P58822
P0001,P33141
P0001,P44225
P0001,P45590
P0001,P0003
P0001,P43830
P0001,P43751
P0001,P58895
P0001,P41135
P0001,P44134
P0001,P44771
P0001,P36910
P0001,P37247
P0001,P44882
P0001,P36248
P0001,P34855
P0001,P38452
P0001,P45390
P0001,P27288
P0001,P42647
P0001,P45667
P0001,P58322
P0001,P36663
P0001,P0791
P0001,P45580
P0001,P39833
P0001,P37414
P0001,P36651
P0001,P49548
P0001,P42905
P0001,P41240
P0001,P26738
P0001,P42577
P0001,P33178
P0001,P44149
P0001,P58683
P0001,P58754
P0001,P58977
P0001,P45745
P0001,P46288
P0001,P37852
P0001,P45737
P0001,P8665
P0001,P29862
P0001,P27848
P0001,P26090
P0001,P34721
P0002,P15997
P0002,P16350
P0002,P21762
P0002,P21826
P0002,P25848
P0002,P21157
P0002,P28125
P0002,P28366
P0002,P22966
P0002,P27980
P0002,P27953
P0002,P25795
P0002,P27723
P0002,P26618
P0002,P31233
P0002,P28265
P0002,P28427
P0002,P0017
P0002,P0026
P0002,P0014
P0002,P31314
P0002,P23005
P0002,P26596
P0002,P27706
P0002,P23932
P0002,P28015
P0002,P28803
P0002,P23694
P0002,P31078
P0002,P58132
P0002,P26633
P0002,P23895
P0002,P27830
P0002,P57885
P0002,P24517
P0002,P26710
P0002,P30592
P0002,P26492
P0002,P25713
P0002,P29940
P0002,P22674
P0002,P29578
P0002,P57905
P0002,P26213
P0002,P28956
P0002,P31135
P0002,P29201
P0002,P26324
P0002,P27772
P0002,P26645
P0002,P27334
P0002,P26097
P0002,P28749
P0002,P27681
P0002,P23845
P0002,P30728
P0002,P26258
P0002,P27191
P0002,P42279
P0002,P57933
P0002,P26094
P0002,P22345
P0002,P29567
P0002,P32589
P0002,P27109
P0002,P24499
P0002,P27914
P0002,P25607
P0002,P23711
P0002,P35596
P0002,P23946
P0002,P28648
P0002,P23889
P0002,P25565
P0002,P25170
P0002,P31894
P0002,P27001
P0002,P29562
P0002,P24376
P0002,P29235
P0002,P18924
P0002,P26469
P0002,P30248
P0002,P31738
P0002,P23602
P0002,P20075
P0002,P24559
P0002,P27336
P0002,P29202
P0002,P28959
P0002,P32572
P0002,P28973
P0002,P29557
P0002,P26388
P0002,P25679
P0002,P26921
P0002,P26906
P0002,P23893
P0002,P21394
P0002,P35495
P0002,P36600
P0002,P31238
P0002,P28141
P0002,P30131
P0002,P35528
P0002,P28394
P0002,P25062
P0002,P26805
P0002,P36226
P0002,P28777
P0002,P28723
P0002,P34567
P0002,P36881
P0002,P29618
P0002,P30305
P0002,P27670
P0002,P0616
P0002,P29734
P0002,P0107
P0002,P0535
P0002,P0937
P0002,P29795
P0002,P29653
P0002,P30099
P0002,P26738
P0002,P29647
P0002,P28354
P0003,P22057
P0003,P57504
P0003,P33597
P0003,P58278
P0003,P0002
P0003,P19371
P0003,P6034
P0003,P7137
P0003,P21548
P0003,P37350
P0003,P58514
P0003,P22013
P0003,P25857
P0003,P30687
P0003,P26916
P0003,P27058
P0003,P37059
P0003,P38648
P0003,P36182
P0003,P37101
P0003,P27376
P0003,P40159
P0003,P38123
P0003,P33483
P0003,P30192
P0003,P38919
P0003,P25933
P0003,P19731
P0003,P35812
P0003,P21002
P0003,P13636
P0003,P25783
P0003,P27431
P0003,P30773
P0003,P58107
P0003,P35778
P0003,P28858
P0003,P20433
P0003,P42792
P0003,P19285
P0003,P38889
P0003,P36229
P0003,P29323
P0003,P18581
P0003,P30920
P0003,P35187
P0003,P13713
P0003,P31215
P0003,P8377
P0003,P20352
P0003,P37234
P0003,P30284
P0003,P28063
P0003,P28541
P0003,P27798
P0003,P31963
P0003,P35988
P0003,P35785
P0003,P35561
P0003,P27801
P0003,P36900
P0003,P38832
P0003,P38267
P0003,P35696
P0003,P26297
P0003,P28133
P0003,P28153
P0003,P31893
P0003,P39994
P0003,P27288
P0003,P36472
P0003,P22166
P0003,P19380
P0003,P35190
P0003,P57993
P0003,P17460
P0003,P21263
P0003,P10048
P0003,P31919
P0003,P36608
P0003,P43257
P0003,P58592
P0003,P29747
P0003,P9578
P0003,P16440
P0003,P4145
P0003,P22969
P0003,P33940
P0003,P39278
P0003,P30337
P0003,P31335
P0003,P29843
P0003,P19472
P0003,P14561
P0003,P27456
P0003,P33120
P0003,P26968
P0003,P28003
P0003,P33205
P0003,P40135
P0003,P38370
P0003,P10002
P0003,P11488
P0003,P32927
P0003,P17205
P0003,P34552
P0003,P38475
P0003,P38650
P0003,P35134
P0003,P38315
P0003,P57140
P0003,P31886
P0003,P29061
P0003,P37111
P0003,P34445
P0003,P37176
P0003,P36892
P0003,P26896
P0003,P38686
P0003,P38323
P0003,P58562
P0003,P41135
P0003,P31894
P0003,P36746
P0003,P17101
P0003,P25565
P0003,P31238
P0003,P40016
P0003,P58322
P0003,P41158
P0003,P58823
P0003,P36910
P0003,P58444
P0003,P38217
P0003,P32631
