local_id,paper_id,title,year,first_author,institution,country,venue,subtopic,citations,references,n_authors,author_share
P0024,https://openalex.org/W4381252082,Transformative effects of ChatGPT on modern education: Emerging Era of AI Chatbots,2023.0,Sukhpal Singh Gill,Queen Mary University Of London,GB,Internet of Things and Cyber-Physical Systems,Artificial Intelligence in Healthcare and Education,369.0,30.0,21.0,0.0476190476190476
P0034,https://openalex.org/W2913781869,The Hanabi challenge: A new frontier for AI research,2019.0,Nolan Bard,University Of Oxford,GB,Artificial Intelligence,Artificial Intelligence in Games,226.0,125.0,15.0,0.0666666666666666
P0039,https://openalex.org/W2916877561,The Annotated Transformer,2018.0,Alexander Rush,Harvard University Press,US,Unknown,Natural Language Processing Techniques,71.0,15.0,1.0,1.0
P0041,https://openalex.org/W3129979751,"A definition, benchmark and database of AI for social good initiatives",2021.0,Josh Cowls,University Of Oxford,GB,Nature Machine Intelligence,Artificial Intelligence in Healthcare and Education,170.0,17.0,4.0,0.25
P0059,https://openalex.org/W2941568957,What's Inside the Black Box? AI Challenges for Lawyers and Researchers,2019.0,Ronald Yu,National University Of Singapore,SG,Legal Information Management,Artificial Intelligence in Law,125.0,1.0,2.0,0.5
P0073,https://openalex.org/W4399452994,LLM-Powered Multimodal AI Conversations for Diabetes Prevention,2024.0,Dung Dao,University College Cork,IE,Unknown,Artificial Intelligence in Healthcare,17.0,17.0,4.0,0.25
P0076,https://openalex.org/W2806070455,CogcompnLP: Your Swiss army knife for NLP,2018.0,Daniel Khashabi,University Of Pennsylvania,US,Unknown,Natural Language Processing Techniques,34.0,30.0,22.0,0.0454545454545454
P0077,https://openalex.org/W4233119898,A Transformer Model for Retrosynthesis,2019.0,Pavel Karpov,Institute Of Structural And Molecular Biology,GB,Unknown,Machine Learning in Materials Science,42.0,0.0,3.0,0.3333333333333333
P0078,https://openalex.org/W4360977395,Combinatorial synthesis for AI-driven materials discovery,2023.0,John M. Gregoire,California Institute Of Technology,US,Nature Synthesis,Machine Learning in Materials Science,80.0,108.0,3.0,0.3333333333333333
P0094,https://openalex.org/W3200737726,Regulating AI in medicine in the United States and Europe,2021.0,Kerstin N. Vokinger,University Of Zurich,CH,Nature Machine Intelligence,Artificial Intelligence in Healthcare and Education,57.0,11.0,2.0,0.5
P0097,https://openalex.org/W4253749897,AI and Machine Learning Paradigms for Health Monitoring System,2021.0,Hasmat Malik,National University Of Singapore,SG,Studies in big data,Artificial Intelligence in Healthcare,81.0,0.0,3.0,0.3333333333333333
P0102,https://openalex.org/W4401414087,AutoTAMP: Autoregressive Task and Motion Planning with LLMs as Translators and Checkers,2024.0,Yongchao Chen,Massachusetts Institute Of Technology,US,Unknown,Natural Language Processing Techniques,48.0,68.0,6.0,0.1666666666666666
P0105,https://openalex.org/W2928412166,Apply rich psychological terms in AI with care,2019.0,Henry Shevlin,Leverhulme Trust,GB,Nature Machine Intelligence,Artificial Intelligence Applications,56.0,20.0,2.0,0.5
P0114,https://openalex.org/W3100269082,SE(3)-Transformers: 3D Roto-Translation Equivariant Attention Networks,2020.0,Fabian B. Fuchs,University Of Oxford,GB,Neural Information Processing Systems,Machine Learning in Materials Science,53.0,0.0,4.0,0.25
P0118,https://openalex.org/W4387579216,Artificial Intelligence (AI) Workflow for Catalyst Design and Optimization,2023.0,Nung Siong Lai,Tsinghua University,CN,Industrial & Engineering Chemistry Research,Machine Learning in Materials Science,48.0,42.0,7.0,0.1428571428571428
P0125,https://openalex.org/W3008472299,Transforming Global Health with AI,2020.0,Mehul C. Mehta,Harvard Global Health Institute,US,New England Journal of Medicine,Artificial Intelligence in Healthcare and Education,39.0,2.0,3.0,0.3333333333333333
P0128,https://openalex.org/W3122498205,AI-enabled business models in legal services: from traditional law firms to next-generation law companies?,2020.0,John Armour,University Of Oxford,GB,Journal of Professions and Organization,Artificial Intelligence in Law,98.0,103.0,2.0,0.5
P0139,https://openalex.org/W4384665085,The impact of Chat Generative Pre-trained Transformer (ChatGPT) on medical education,2023.0,Jonathan J Y Heng,National University Of Singapore,SG,Postgraduate Medical Journal,Artificial Intelligence in Healthcare and Education,38.0,11.0,3.0,0.3333333333333333
P0145,https://openalex.org/W4403791424,"From Multimodal LLM to Human-level AI: Modality, Instruction, Reasoning and Beyond",2024.0,Hao Fei,National University Of Singapore,SG,Unknown,Natural Language Processing Techniques,11.0,11.0,7.0,0.1428571428571428
