local_id,paper_id,title,year,first_author,institution,country,venue,subtopic,citations,references,n_authors,author_share
P0001,https://openalex.org/W4365143687,Foundation models for generalist medical artificial intelligence,2023,Michael Moor,Stanford University,US,Nature,Machine Learning in Healthcare,1155,50,7,0.1428571428571428
P0002,https://openalex.org/W4205164650,AI in health and medicine,2022,Pranav Rajpurkar,Harvard University,US,Nature Medicine,Artificial Intelligence in Healthcare and Education,1931,127,4,0.25
P0003,https://openalex.org/W4295951577,Multimodal biomedical AI,2022,Julián N. Acosta,Yale University,US,Nature Medicine,Artificial Intelligence in Healthcare and Education,810,180,4,0.25
P0004,https://openalex.org/W2947423323,Molecular Transformer: A Model for Uncertainty-Calibrated Chemical Reaction Prediction,2019,Philippe Schwaller,Ibm Research - Zurich,CH,ACS Central Science,Machine Learning in Materials Science,722,40,7,0.1428571428571428
P0005,https://openalex.org/W3042276730,The ethics of AI in health care: A mapping review,2020,Jessica Morley,University Of Oxford,GB,Social Science & Medicine,Artificial Intelligence in Healthcare and Education,671,174,7,0.1428571428571428
P0006,https://openalex.org/W3180959755,Protocol for development of a reporting guideline (TRIPOD-AI) and risk of bias tool (PROBAST-AI) for diagnostic and prognostic prediction model studies based on artificial intelligence,2021,Gary S Collins,John Radcliffe Hospital,GB,BMJ Open,Artificial Intelligence in Healthcare and Education,667,33,13,0.0769230769230769
P0007,https://openalex.org/W2515248967,How to Train good Word Embeddings for Biomedical NLP,2016,Billy Chiu,University Of Cambridge,GB,Unknown,Natural Language Processing Techniques,351,22,4,0.25
P0008,https://openalex.org/W3017637887,BEHRT: Transformer for Electronic Health Records,2020,Yikuan Li,University Of Oxford,GB,Scientific Reports,Machine Learning in Healthcare,445,42,9,0.1111111111111111
P0009,https://openalex.org/W3136552952,Reporting guidelines for clinical trial reports for interventions involving artificial intelligence: the CONSORT-AI extension,2020,Xiaoxuan Liu,Moorfields Eye Hospital,GB,Nature Medicine,Artificial Intelligence in Healthcare and Education,762,60,44,0.0227272727272727
P0010,https://openalex.org/W4394857110,TRIPOD+AI statement: updated guidance for reporting clinical prediction models that use regression or machine learning methods,2024,Gary S Collins,Nuffield Orthopaedic Centre,GB,BMJ,Artificial Intelligence in Healthcare and Education,833,99,34,0.0294117647058823
P0011,https://openalex.org/W4385381606,The shaky foundations of large language models and foundation models for electronic health records,2023,Michael Wornow,Stanford University,US,npj Digital Medicine,Machine Learning in Healthcare,224,86,9,0.1111111111111111
P0012,https://openalex.org/W2969075152,The “inconvenient truth” about AI in healthcare,2019,Trishan Panch,Harvard University,US,npj Digital Medicine,Machine Learning in Healthcare,426,16,3,0.3333333333333333
P0013,https://openalex.org/W4401857375,A Survey on RAG Meeting LLMs: Towards Retrieval-Augmented Large Language Models,2024,Wenqi Fan,Hong Kong Polytechnic University,HK,Unknown,Natural Language Processing Techniques,256,67,8,0.125
P0014,https://openalex.org/W3136960503,Guidelines for clinical trial protocols for interventions involving artificial intelligence: the SPIRIT-AI extension,2020,Samantha Cruz Rivera,University Of Birmingham,GB,Nature Medicine,Artificial Intelligence in Healthcare and Education,474,49,44,0.0227272727272727
P0015,https://openalex.org/W2973190536,AI-Assisted Decision-making in Healthcare,2019,Tamra Lysaght,National University Of Singapore,SG,Asian Bioethics Review,Artificial Intelligence in Healthcare and Education,277,21,4,0.25
P0016,https://openalex.org/W3130937151,Do as AI say: susceptibility in deployment of clinical decision-aids,2021,Susanne Gaube,University Of Regensburg,DE,npj Digital Medicine,Artificial Intelligence in Healthcare and Education,356,42,10,0.1
P0017,https://openalex.org/W3083992516,Reporting guidelines for clinical trial reports for interventions involving artificial intelligence: the CONSORT-AI Extension,2020,Xiaoxuan Liu,Health Data Research Uk,GB,BMJ,Artificial Intelligence in Healthcare and Education,475,63,5,0.2
P0018,https://openalex.org/W4386624058,AI pitfalls and what not to do: mitigating bias in AI,2023,Judy Wawira Gichoya,Emory University,US,British Journal of Radiology,Artificial Intelligence in Healthcare and Education,173,65,9,0.1111111111111111
P0019,https://openalex.org/W2888171911,With an eye to AI and autonomous diagnosis,2018,Pearse A. Keane,Moorfields Eye Hospital Nhs Foundation Trust,GB,npj Digital Medicine,Machine Learning in Healthcare,267,12,2,0.5
P0020,https://openalex.org/W4385572845,Super-NaturalInstructions: Generalization via Declarative Instructions on 1600+ NLP Tasks,2022,Yizhong Wang,University Of Washington,US,Unknown,Natural Language Processing Techniques,203,51,35,0.0285714285714285
P0021,https://openalex.org/W4280519765,AI recognition of patient race in medical imaging: a modelling study,2022,Judy Wawira Gichoya,Emory University,US,The Lancet Digital Health,Artificial Intelligence in Healthcare and Education,403,42,23,0.0434782608695652
P0022,https://openalex.org/W4389524555,RWKV: Reinventing RNNs for the Transformer Era,2023,Bo Peng,Universitat De Barcelona,ES,Unknown,Natural Language Processing Techniques,216,63,32,0.03125
P0023,https://openalex.org/W3143784018,How medical AI devices are evaluated: limitations and recommendations from an analysis of FDA approvals,2021,Eric Wu,Stanford University,US,Nature Medicine,Artificial Intelligence in Healthcare and Education,400,9,6,0.1666666666666666
P0024,https://openalex.org/W4381252082,Transformative effects of ChatGPT on modern education: Emerging Era of AI Chatbots,2023,Sukhpal Singh Gill,Queen Mary University Of London,GB,Internet of Things and Cyber-Physical Systems,Artificial Intelligence in Healthcare and Education,369,30,21,0.0476190476190476
P0025,https://openalex.org/W4200295417,AI-generated characters for supporting personalized learning and well-being,2021,Pat Pataranutaporn,Massachusetts Institute Of Technology,US,Nature Machine Intelligence,Artificial Intelligence in Healthcare and Education,286,66,7,0.1428571428571428
P0026,https://openalex.org/W3084438218,Guidelines for clinical trial protocols for interventions involving artificial intelligence: the SPIRIT-AI extension,2020,Samantha Cruz Rivera,University Of Birmingham,GB,The Lancet Digital Health,Artificial Intelligence in Healthcare and Education,358,50,40,0.025
P0027,https://openalex.org/W2899881299,"Legal, regulatory, and ethical frameworks for development of standards in artificial intelligence (AI) and autonomous robotic surgery",2018,Shane O'Sullivan,Hospital Das Clínicas Da Faculdade De Medicina Da Universidade De São Paulo,BR,International Journal of Medical Robotics and Computer Assisted Surgery,Artificial Intelligence in Healthcare and Education,371,64,10,0.1
P0028,https://openalex.org/W4315641887,Applications of transformer-based language models in bioinformatics: a survey,2023,Shuang Zhang,Nankai University,CN,Bioinformatics Advances,Machine Learning in Bioinformatics,134,121,6,0.1666666666666666
P0029,https://openalex.org/W4229015090,New meaning for NLP: the trials and tribulations of natural language processing with GPT-3 in ophthalmology,2022,Siddharth Nath,Mcgill University,CA,British Journal of Ophthalmology,Artificial Intelligence in Healthcare and Education,115,26,5,0.2
P0030,https://openalex.org/W4380538374,Bias in AI-based models for medical applications: challenges and mitigation strategies,2023,Mirja Mittermaier,Berlin Institute Of Health At Charité - Universitätsmedizin Berlin,DE,npj Digital Medicine,Artificial Intelligence in Healthcare and Education,247,17,3,0.3333333333333333
