"title","year","total_citations","recent_citations"
"What This Computer Needs Is a Physician",2017,13,4
"How to Train good Word Embeddings for Biomedical NLP",2016,1,1
"Investigating the cross-lingual translatability of VerbNet-style classification",2017,1,1
"Exploring big educational learner corpora for SLA research",2015,1,0
"Incremental Dependency Parsing and Disfluency Detection in Spoken Learner English",2015,1,0
"AI as evaluator: Search driven playtesting of modern board games",2017,0,0
"Findings of the VarDial Evaluation Campaign 2017",2017,3,0
"A Report on the 2017 Native Language Identification Shared Task",2017,1,0
"Artificial intelligence (AI) systems for interpreting complex medical datasets",2017,1,0
"Segmenting and POS tagging Classical Tibetan using a memory-based tagger",2018,1,0
